Script Execution Time: 142.88 seconds | Mappers: 1 | Reducers: 1 | Combiner Used: No | Input File: 100x
Script Execution Time: 119.57 seconds | Mappers: 1 | Reducers: 2 | Combiner Used: No | Input File: 100x
Script Execution Time: 110.75 seconds | Mappers: 1 | Reducers: 3 | Combiner Used: No | Input File: 100x
Script Execution Time: 111.18 seconds | Mappers: 1 | Reducers: 4 | Combiner Used: No | Input File: 100x
Script Execution Time: 105.59 seconds | Mappers: 1 | Reducers: 5 | Combiner Used: No | Input File: 100x
Script Execution Time: 105.68 seconds | Mappers: 1 | Reducers: 6 | Combiner Used: No | Input File: 100x
Script Execution Time: 105.63 seconds | Mappers: 1 | Reducers: 7 | Combiner Used: No | Input File: 100x
Script Execution Time: 103.86 seconds | Mappers: 1 | Reducers: 8 | Combiner Used: No | Input File: 100x
Script Execution Time: 107.71 seconds | Mappers: 1 | Reducers: 9 | Combiner Used: No | Input File: 100x
Script Execution Time: 103.60 seconds | Mappers: 1 | Reducers: 10 | Combiner Used: No | Input File: 100x
Script Execution Time: 108.69 seconds | Mappers: 1 | Reducers: 11 | Combiner Used: No | Input File: 100x
Script Execution Time: 107.67 seconds | Mappers: 1 | Reducers: 12 | Combiner Used: No | Input File: 100x
Script Execution Time: 103.65 seconds | Mappers: 1 | Reducers: 13 | Combiner Used: No | Input File: 100x
Script Execution Time: 108.52 seconds | Mappers: 1 | Reducers: 14 | Combiner Used: No | Input File: 100x
Script Execution Time: 104.78 seconds | Mappers: 1 | Reducers: 15 | Combiner Used: No | Input File: 100x
Script Execution Time: 107.66 seconds | Mappers: 1 | Reducers: 16 | Combiner Used: No | Input File: 100x
Script Execution Time: 105.78 seconds | Mappers: 1 | Reducers: 17 | Combiner Used: No | Input File: 100x
Script Execution Time: 105.65 seconds | Mappers: 1 | Reducers: 18 | Combiner Used: No | Input File: 100x
Script Execution Time: 107.59 seconds | Mappers: 1 | Reducers: 19 | Combiner Used: No | Input File: 100x
Script Execution Time: 106.80 seconds | Mappers: 1 | Reducers: 20 | Combiner Used: No | Input File: 100x

Script Execution Time: 93.78 seconds | Mappers: 2 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 16:59:51
Script Execution Time: 82.67 seconds | Mappers: 2 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 17:01:16
Script Execution Time: 71.43 seconds | Mappers: 2 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 17:02:30
Script Execution Time: 74.56 seconds | Mappers: 2 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 17:03:47
Script Execution Time: 70.42 seconds | Mappers: 2 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 17:04:59
Script Execution Time: 68.59 seconds | Mappers: 2 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 17:06:10
Script Execution Time: 68.43 seconds | Mappers: 2 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 17:07:21
Script Execution Time: 68.52 seconds | Mappers: 2 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 17:08:32
Script Execution Time: 67.53 seconds | Mappers: 2 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 17:09:42
Script Execution Time: 70.38 seconds | Mappers: 2 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 17:10:55
Script Execution Time: 72.62 seconds | Mappers: 2 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 17:12:10
Script Execution Time: 72.73 seconds | Mappers: 2 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 17:13:25
Script Execution Time: 68.50 seconds | Mappers: 2 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 17:14:36
Script Execution Time: 72.69 seconds | Mappers: 2 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 17:15:51
Script Execution Time: 70.54 seconds | Mappers: 2 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 17:17:04
Script Execution Time: 70.65 seconds | Mappers: 2 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 17:18:17
Script Execution Time: 73.72 seconds | Mappers: 2 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 17:19:33
Script Execution Time: 73.53 seconds | Mappers: 2 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 17:20:49
Script Execution Time: 72.43 seconds | Mappers: 2 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 17:22:04
Script Execution Time: 74.70 seconds | Mappers: 2 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 17:23:21
Script Execution Time: 80.89 seconds | Mappers: 3 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 17:24:44
Script Execution Time: 72.56 seconds | Mappers: 3 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 17:25:59
Script Execution Time: 63.22 seconds | Mappers: 3 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 17:27:04
Script Execution Time: 63.29 seconds | Mappers: 3 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 17:28:10
Script Execution Time: 56.49 seconds | Mappers: 3 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 17:29:09
Script Execution Time: 59.80 seconds | Mappers: 3 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 17:30:11
Script Execution Time: 57.32 seconds | Mappers: 3 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 17:31:11
Script Execution Time: 58.51 seconds | Mappers: 3 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 17:32:12
Script Execution Time: 58.43 seconds | Mappers: 3 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 17:33:12
Script Execution Time: 57.40 seconds | Mappers: 3 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 17:34:12
Script Execution Time: 60.41 seconds | Mappers: 3 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 17:35:15
Script Execution Time: 61.49 seconds | Mappers: 3 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 17:36:19
Script Execution Time: 58.51 seconds | Mappers: 3 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 17:37:20
Script Execution Time: 60.30 seconds | Mappers: 3 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 17:38:22
Script Execution Time: 58.80 seconds | Mappers: 3 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 17:39:23
Script Execution Time: 62.37 seconds | Mappers: 3 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 17:40:28
Script Execution Time: 62.56 seconds | Mappers: 3 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 17:41:33
Script Execution Time: 61.52 seconds | Mappers: 3 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 17:42:37
Script Execution Time: 61.39 seconds | Mappers: 3 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 17:43:41
Script Execution Time: 63.52 seconds | Mappers: 3 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 17:44:47
Script Execution Time: 74.53 seconds | Mappers: 4 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 17:46:04
Script Execution Time: 64.49 seconds | Mappers: 4 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 17:47:10
Script Execution Time: 54.73 seconds | Mappers: 4 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 17:48:08
Script Execution Time: 54.35 seconds | Mappers: 4 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 17:49:04
Script Execution Time: 51.24 seconds | Mappers: 4 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 17:49:58
Script Execution Time: 51.32 seconds | Mappers: 4 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 17:50:52
Script Execution Time: 51.42 seconds | Mappers: 4 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 17:51:45
