Script Execution Time: 403.81 seconds | Mappers: 1 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 09:57:07
Script Execution Time: 297.25 seconds | Mappers: 1 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 10:02:07
Script Execution Time: 217.36 seconds | Mappers: 1 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 10:05:47
Script Execution Time: 213.12 seconds | Mappers: 1 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 10:09:22
Script Execution Time: 174.92 seconds | Mappers: 1 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 10:12:19
Script Execution Time: 181.75 seconds | Mappers: 1 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 10:15:23
Script Execution Time: 166.92 seconds | Mappers: 1 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 10:18:13
Script Execution Time: 181.66 seconds | Mappers: 1 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 10:21:17
Script Execution Time: 157.09 seconds | Mappers: 1 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 10:23:56
Script Execution Time: 159.88 seconds | Mappers: 1 | Reducers: 10 | Combiner Used: No | Input File: 1000x | Current Time: 10:26:38
Script Execution Time: 174.22 seconds | Mappers: 1 | Reducers: 11 | Combiner Used: No | Input File: 1000x | Current Time: 10:29:35
Script Execution Time: 180.97 seconds | Mappers: 1 | Reducers: 12 | Combiner Used: No | Input File: 1000x | Current Time: 10:32:38
Script Execution Time: 148.85 seconds | Mappers: 1 | Reducers: 13 | Combiner Used: No | Input File: 1000x | Current Time: 10:35:10
Script Execution Time: 158.97 seconds | Mappers: 1 | Reducers: 14 | Combiner Used: No | Input File: 1000x | Current Time: 10:37:51
Script Execution Time: 154.68 seconds | Mappers: 1 | Reducers: 15 | Combiner Used: No | Input File: 1000x | Current Time: 10:40:28
Script Execution Time: 157.83 seconds | Mappers: 1 | Reducers: 16 | Combiner Used: No | Input File: 1000x | Current Time: 10:43:08
Script Execution Time: 160.91 seconds | Mappers: 1 | Reducers: 17 | Combiner Used: No | Input File: 1000x | Current Time: 10:45:52
Script Execution Time: 155.76 seconds | Mappers: 1 | Reducers: 18 | Combiner Used: No | Input File: 1000x | Current Time: 10:48:30
Script Execution Time: 151.79 seconds | Mappers: 1 | Reducers: 19 | Combiner Used: No | Input File: 1000x | Current Time: 10:51:04
Script Execution Time: 162.09 seconds | Mappers: 1 | Reducers: 20 | Combiner Used: No | Input File: 1000x | Current Time: 10:53:48
Script Execution Time: 408.71 seconds | Mappers: 2 | Reducers: 1 | Combiner Used: No | Input File: 1000x | Current Time: 11:00:40
Script Execution Time: 293.19 seconds | Mappers: 2 | Reducers: 2 | Combiner Used: No | Input File: 1000x | Current Time: 11:05:35
Script Execution Time: 216.24 seconds | Mappers: 2 | Reducers: 3 | Combiner Used: No | Input File: 1000x | Current Time: 11:09:14
Script Execution Time: 214.96 seconds | Mappers: 2 | Reducers: 4 | Combiner Used: No | Input File: 1000x | Current Time: 11:12:51
Script Execution Time: 174.03 seconds | Mappers: 2 | Reducers: 5 | Combiner Used: No | Input File: 1000x | Current Time: 11:15:47
Script Execution Time: 177.88 seconds | Mappers: 2 | Reducers: 6 | Combiner Used: No | Input File: 1000x | Current Time: 11:18:48
Script Execution Time: 167.97 seconds | Mappers: 2 | Reducers: 7 | Combiner Used: No | Input File: 1000x | Current Time: 11:21:38
Script Execution Time: 176.96 seconds | Mappers: 2 | Reducers: 8 | Combiner Used: No | Input File: 1000x | Current Time: 11:24:37
Script Execution Time: 157.95 seconds | Mappers: 2 | Reducers: 9 | Combiner Used: No | Input File: 1000x | Current Time: 11:27:18
