Script Execution Time: 126.11 seconds | Mappers: 1 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 10:26:45
Script Execution Time: 118.76 seconds | Mappers: 1 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 10:28:46
Script Execution Time: 110.63 seconds | Mappers: 1 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 10:30:39
Script Execution Time: 108.73 seconds | Mappers: 1 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 10:32:30
Script Execution Time: 102.54 seconds | Mappers: 1 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 10:34:15
Script Execution Time: 105.81 seconds | Mappers: 1 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 10:36:03
Script Execution Time: 103.58 seconds | Mappers: 1 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 10:37:49
Script Execution Time: 104.71 seconds | Mappers: 1 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 10:39:36
Script Execution Time: 104.68 seconds | Mappers: 1 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 10:41:23
Script Execution Time: 104.62 seconds | Mappers: 1 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 10:43:10
Script Execution Time: 109.71 seconds | Mappers: 1 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 10:45:02
Script Execution Time: 106.74 seconds | Mappers: 1 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 10:46:51
Script Execution Time: 104.68 seconds | Mappers: 1 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 10:48:38
Script Execution Time: 103.75 seconds | Mappers: 1 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 10:50:24
Script Execution Time: 104.55 seconds | Mappers: 1 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 10:52:11
Script Execution Time: 105.67 seconds | Mappers: 1 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 10:53:59
Script Execution Time: 107.82 seconds | Mappers: 1 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 10:55:50
Script Execution Time: 106.64 seconds | Mappers: 1 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 10:57:39
Script Execution Time: 106.73 seconds | Mappers: 1 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 10:59:28
Script Execution Time: 106.78 seconds | Mappers: 1 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 11:01:17
Script Execution Time: 95.85 seconds | Mappers: 2 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 11:02:55
Script Execution Time: 82.41 seconds | Mappers: 2 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 11:04:20
Script Execution Time: 73.56 seconds | Mappers: 2 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 11:05:36
Script Execution Time: 72.53 seconds | Mappers: 2 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 11:06:51
Script Execution Time: 68.55 seconds | Mappers: 2 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 11:08:02
Script Execution Time: 67.33 seconds | Mappers: 2 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 11:09:11
Script Execution Time: 66.44 seconds | Mappers: 2 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 11:10:20
Script Execution Time: 68.57 seconds | Mappers: 2 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 11:11:31
Script Execution Time: 70.39 seconds | Mappers: 2 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 11:12:44
Script Execution Time: 67.47 seconds | Mappers: 2 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 11:13:54
Script Execution Time: 74.59 seconds | Mappers: 2 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 11:15:11
Script Execution Time: 72.53 seconds | Mappers: 2 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 11:16:26
Script Execution Time: 70.61 seconds | Mappers: 2 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 11:17:39
Script Execution Time: 72.52 seconds | Mappers: 2 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 11:18:54
Script Execution Time: 70.53 seconds | Mappers: 2 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 11:20:07
Script Execution Time: 72.45 seconds | Mappers: 2 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 11:21:21
Script Execution Time: 73.46 seconds | Mappers: 2 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 11:22:37
Script Execution Time: 75.47 seconds | Mappers: 2 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 11:23:55
Script Execution Time: 72.60 seconds | Mappers: 2 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 11:25:10
Script Execution Time: 72.42 seconds | Mappers: 2 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 11:26:25
Script Execution Time: 79.75 seconds | Mappers: 3 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 11:27:47
Script Execution Time: 71.53 seconds | Mappers: 3 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 11:29:01
Script Execution Time: 63.38 seconds | Mappers: 3 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 11:30:07
Script Execution Time: 63.42 seconds | Mappers: 3 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 11:31:13
Script Execution Time: 57.26 seconds | Mappers: 3 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 11:32:12
Script Execution Time: 56.41 seconds | Mappers: 3 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 11:33:11
Script Execution Time: 57.49 seconds | Mappers: 3 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 11:34:11
Script Execution Time: 58.29 seconds | Mappers: 3 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 11:35:12
Script Execution Time: 57.46 seconds | Mappers: 3 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 11:36:11
Script Execution Time: 60.59 seconds | Mappers: 3 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 11:37:14
Script Execution Time: 61.43 seconds | Mappers: 3 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 11:38:18
Script Execution Time: 61.18 seconds | Mappers: 3 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 11:39:22
Script Execution Time: 58.45 seconds | Mappers: 3 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 11:40:22
Script Execution Time: 60.42 seconds | Mappers: 3 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 11:41:25
Script Execution Time: 58.28 seconds | Mappers: 3 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 11:42:26
Script Execution Time: 60.49 seconds | Mappers: 3 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 11:43:29
Script Execution Time: 60.43 seconds | Mappers: 3 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 11:44:32
Script Execution Time: 60.46 seconds | Mappers: 3 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 11:45:35
Script Execution Time: 62.33 seconds | Mappers: 3 | Reducers: 19 | Combiner Used: No | Input File: 100x | Current Time: 11:46:39
Script Execution Time: 60.49 seconds | Mappers: 3 | Reducers: 20 | Combiner Used: No | Input File: 100x | Current Time: 11:47:42
Script Execution Time: 78.40 seconds | Mappers: 4 | Reducers: 1 | Combiner Used: No | Input File: 100x | Current Time: 11:49:03
Script Execution Time: 65.45 seconds | Mappers: 4 | Reducers: 2 | Combiner Used: No | Input File: 100x | Current Time: 11:50:11
Script Execution Time: 54.56 seconds | Mappers: 4 | Reducers: 3 | Combiner Used: No | Input File: 100x | Current Time: 11:51:07
Script Execution Time: 54.40 seconds | Mappers: 4 | Reducers: 4 | Combiner Used: No | Input File: 100x | Current Time: 11:52:04
Script Execution Time: 52.39 seconds | Mappers: 4 | Reducers: 5 | Combiner Used: No | Input File: 100x | Current Time: 11:52:59
Script Execution Time: 54.43 seconds | Mappers: 4 | Reducers: 6 | Combiner Used: No | Input File: 100x | Current Time: 11:53:56
Script Execution Time: 51.23 seconds | Mappers: 4 | Reducers: 7 | Combiner Used: No | Input File: 100x | Current Time: 11:54:49
Script Execution Time: 51.31 seconds | Mappers: 4 | Reducers: 8 | Combiner Used: No | Input File: 100x | Current Time: 11:55:43
Script Execution Time: 51.23 seconds | Mappers: 4 | Reducers: 9 | Combiner Used: No | Input File: 100x | Current Time: 11:56:37
Script Execution Time: 51.55 seconds | Mappers: 4 | Reducers: 10 | Combiner Used: No | Input File: 100x | Current Time: 11:57:31
Script Execution Time: 54.60 seconds | Mappers: 4 | Reducers: 11 | Combiner Used: No | Input File: 100x | Current Time: 11:58:28
Script Execution Time: 54.46 seconds | Mappers: 4 | Reducers: 12 | Combiner Used: No | Input File: 100x | Current Time: 11:59:24
Script Execution Time: 53.49 seconds | Mappers: 4 | Reducers: 13 | Combiner Used: No | Input File: 100x | Current Time: 12:00:20
Script Execution Time: 53.31 seconds | Mappers: 4 | Reducers: 14 | Combiner Used: No | Input File: 100x | Current Time: 12:01:16
Script Execution Time: 53.40 seconds | Mappers: 4 | Reducers: 15 | Combiner Used: No | Input File: 100x | Current Time: 12:02:12
Script Execution Time: 53.56 seconds | Mappers: 4 | Reducers: 16 | Combiner Used: No | Input File: 100x | Current Time: 12:03:07
Script Execution Time: 54.46 seconds | Mappers: 4 | Reducers: 17 | Combiner Used: No | Input File: 100x | Current Time: 12:04:04
Script Execution Time: 56.42 seconds | Mappers: 4 | Reducers: 18 | Combiner Used: No | Input File: 100x | Current Time: 12:05:03
